barang,tahun,bulan,penjualan
HVS A4 Sidu,2024,1,100
HVS A4 Sidu,2024,2,35
HVS A4 Sidu,2024,3,25
HVS A4 Sidu,2024,4,25
HVS A4 Sidu,2024,5,110
HVS A4 Sidu,2024,6,100
HVS F4 Sidu,2024,1,130
HVS F4 Sidu,2024,2,50
HVS F4 Sidu,2024,3,25
HVS F4 Sidu,2024,4,35
HVS F4 Sidu,2024,5,65
HVS F4 Sidu,2024,6,100
HVS A4 80 Gram Sidu,2024,1,8
HVS A4 80 Gram Sidu,2024,2,5
HVS A4 80 Gram Sidu,2024,3,3
HVS A4 80 Gram Sidu,2024,4,2
HVS A4 80 Gram Sidu,2024,5,9
HVS A4 80 Gram Sidu,2024,6,10
HVS F4 80 Gram Sidu,2024,1,5
HVS F4 80 Gram Sidu,2024,2,0.614
HVS F4 80 Gram Sidu,2024,3,0.614
HVS F4 80 Gram Sidu,2024,4,0.47
HVS F4 80 Gram Sidu,2024,5,5
HVS F4 80 Gram Sidu,2024,6,4
Kertas bergaris Folio,2024,1,1.69
Kertas bergaris Folio,2024,2,0.85
Kertas bergaris Folio,2024,3,1.45
Kertas bergaris Folio,2024,4,0.67
Kertas bergaris Folio,2024,5,3.94
Kertas bergaris Folio,2024,6,2.35
HVS Warna Merah F4  Sidu,2024,1,0.184
HVS Warna Merah F4  Sidu,2024,2,0.292
HVS Warna Merah F4  Sidu,2024,3,0.594
HVS Warna Merah F4  Sidu,2024,4,0.314
HVS Warna Merah F4  Sidu,2024,5,394
HVS Warna Merah F4  Sidu,2024,6,235
HVS Warna Hijau F4  Sidu,2024,1,0.86
HVS Warna Hijau F4  Sidu,2024,2,0.69
HVS Warna Hijau F4  Sidu,2024,3,0.22
HVS Warna Hijau F4  Sidu,2024,4,0.27
HVS Warna Hijau F4  Sidu,2024,5,1.17
HVS Warna Hijau F4  Sidu,2024,6,1.366
HVS Warna Kuning F4  Sidu,2024,1,0.69
HVS Warna Kuning F4  Sidu,2024,2,0.26
HVS Warna Kuning F4  Sidu,2024,3,0.316
HVS Warna Kuning F4  Sidu,2024,4,0.384
HVS Warna Kuning F4  Sidu,2024,5,0.49
HVS Warna Kuning F4  Sidu,2024,6,0.864
HVS Warna Biru F4  Sidu,2024,1,0.29
HVS Warna Biru F4  Sidu,2024,2,0.174
HVS Warna Biru F4  Sidu,2024,3,0.186
HVS Warna Biru F4  Sidu,2024,4,0.134
HVS Warna Biru F4  Sidu,2024,5,0.468
HVS Warna Biru F4  Sidu,2024,6,0.314
Kertas Bufalo Putih Crown,2024,1,2.85
Kertas Bufalo Putih Crown,2024,2,1.9
Kertas Bufalo Putih Crown,2024,3,2.56
Kertas Bufalo Putih Crown,2024,4,1.67
Kertas Bufalo Putih Crown,2024,5,1.6
Kertas Bufalo Putih Crown,2024,6,2.54
Kertas Bufalo Warna Crown,2024,1,3.23
Kertas Bufalo Warna Crown,2024,2,3.28
Kertas Bufalo Warna Crown,2024,3,3.25
Kertas Bufalo Warna Crown,2024,4,5.43
Kertas Bufalo Warna Crown,2024,5,6.46
Kertas Bufalo Warna Crown,2024,6,7.05
